project_name,project_description,project_stage,lead_entity,contractors,early_implementation,construction_start_year,construction_completion_year,estimated_budget,funding_sources,system,project_type,acreage,acreage_bypass_floodplain,acreage_fish_food,acreage_tributary_floodplain,acreage_tributary_rearing,acreage_tributary_spawning,acreage_tidal_wetland,target_species,display_id
McCormick-Williamson Tract (MWT) Monitoring Project (Phase B),"Restore hydrologic function and habitat on the 1,654-acre McCormack-Williamson Tract in a manner that also helps provide flood relief to the North Delta region by reconnecting the site as a floodplain to the Mokelumne River.",post-construction monitoring and science,DWR,,True,2024,2025,51000000,,Delta,tidal habitat; tributary floodplain habitat,1654.0,1457.0,,,,,,Chinook salmon; Steelhead trout; Delta smelt,project-1
Grizzly Slough Floodplain Restoration,"Habitat restoration effort in southern Sacramento County, near the confluence of the Cosumnes and Mokelumne Rivers, that will restore over 200 acres of floodplain and wetland habitats to support native fish and wildlife through hydrologic reconnection and native plant enhancement.",post-construction monitoring and science,DWR,,True,2025,2025,7180000,,Delta,bypass floodplain habitat,180.0,171.0,,,,,,Chinook salmon; Steelhead trout; Delta smelt,project-2
Lower Elkhorn Basin Levee Setback,7 miles of setback levees in the Lower Elkhorn Basin along the east side of the Yolo Bypass.,construction,DWR,,True,2023,2026,200000000,,Yolo Bypass,bypass floodplain habitat; fish passage improvement,500.0,500.0,,,,,,Chinook salmon; Steelhead trout; Green sturgeon; White sturgeon,project-3
Kopta Slough Multi-Benefit Project,"Restoration of 176 acres of floodplain habitat by removing rock revetment, recontouring the riverbank, and converting agricultural land back to native riparian habitats, enhancing fish and wildlife habitat, floodplain function, and public recreation opportunities, while also reducing flood management costs.",permitting,DWR,,True,2028,2030,11000000,,Sacramento,rearing habitat,170.0,,,,170.0,,,Chinook salmon; Steelhead trout,project-4
Dos Rios Norte,Enhance floodplain habitat through improved connections to the Feather River and the Sacramento River.,concept/feasibility,DWR,,False,,,25000000,,Sutter Bypass,bypass floodplain habitat,1600.0,,,1300.0,,,,Chinook salmon; Steelhead trout,project-5
Tisdale Weir Reoperation,Modify operations to create seasonal floodplain rearing habitat in the Tisdale and Sutter Bypasses.,concept/feasibility,DWR,,False,2027,2030,30000000,,Sutter Bypass,bypass floodplain habitat,10000.0,10000.0,,,,,,Chinook salmon; Steelhead trout,project-6
Agricultural Road Crossing #4 Improvements,Remove a fish passage impediment and install fish-protective screens in the Yolo Bypass.,construction,DWR,,True,2025,2026,16000000,WCB grant; USBR grant,Yolo Bypass,fish screen installation or improvement; fish passage improvement,100.0,100.0,,,,,,Chinook salmon; Steelhead trout; Green sturgeon; White sturgeon,project-7
Prospect Island Tidal Habitat Restoration Project,"Restore daily tidal inundation across a diked historical marsh on Prospect Island (located within the Cache Slough Complex in Solano County) by breaching levees to reinstate tidal flow and enhance habitat for native fish, improve water quality, bolster climate resilience, and sequester carbon.",post-construction monitoring and science,DWR,,True,2024,2026,69400000,,Delta,tidal habitat,1600.0,,,,,,640.0,Chinook salmon; Steelhead trout; Delta smelt,project-8
Little Egbert Multi-Benefit Project,"Transformation of the Little Egbert Tract, a below-sea-level agricultural area at the southeastern end of the Yolo Bypass near Rio Vista, into enhanced habitat and flood conveyance zones by breaching existing levees, constructing subtidal swales and berms, and restoring native riparian and tidal ecosystems while also improving recreational opportunities and flood protection for nearby communities.",CEQA,DWR,,True,2028,2030,250000000,,Delta,tidal habitat; bypass floodplain habitat,3000.0,,,,,,3000.0,Chinook salmon; Steelhead trout; Green sturgeon; White sturgeon,project-9
Tide's End Multibenefit Restoration Project,"Restoration of approximately 2,200 acres at the downstream end of the Yolo Bypass in Yolo County to create a connected network of tidal marsh, floodplain, and wildlife-friendly agricultural habitatsbalancing flood management, ecosystem enhancement, and continued land use.",CEQA,DWR,,True,2027,2028,65000000,,Yolo Bypass,tidal habitat; bypass floodplain habitat,2200.0,,,,,,1600.0,Chinook salmon; Steelhead trout; Delta smelt,project-10
Dutch Slough Tidal Restoration Project (Phase 2),"Converts approximately 1,200 acres of former grazing land near Oakley in the western SacramentoSan Joaquin Delta into a restored tidal marsh, re-establishing daily tidal flow to support native fish and wildlife, improve flood resilience, and serve as a living laboratory and community-accessed park.",construction,DWR,,True,2026,2028,46000000,,Delta,tidal habitat,1187.0,447.0,,,,,,Chinook salmon; Steelhead trout; Delta smelt,project-11
Feather River Salmonid Spawning Habitat Improvement - 2024,"The placement, sorting, and harvesting of gravel and cobble (1/4”-5”) to restore spawning habitat in the Feather River",construction,DWR,Reclamation District 1500,True,2026,2026,2370000,General Fund; Local Assistance (AB 179),Feather,spawning habitat,5.23,,,,,5.23,,Chinook salmon; Steelhead trout,project-12
P68 Feather River Salmon Habitat Improvement Project,"In 2023, the first phase of the P68 Feather River Salmon Habitat Improvement Project added approximately 8,300 cubic yards of optimal sized salmon spawning gravel at four locations in the Feather River between RM 63 to 67 to increase the amount of suitable and accessible spawning habitat for salmonids in the Feather River. Gravel will be added at other locations upstream of the locations that received gravel in 2023 when the second phase of the project is completed in 2026.",post-construction monitoring and science,DWR,Franklin Construction,True,2023,2023,2560000,Prop 68; CVPIA; DWR,Feather,spawning habitat,3.49,,,,,3.49,,Chinook salmon; Steelhead trout,project-13
Mokelumne River - MRDUA Large Floodplain Project,Floodplain Restoration,design; permitting,EBMUD,NA,False,2028,2029,3500000,,Mokelumne,tributary floodplain habitat,58.42712595876855,0.0,0.0,5.7,0.0,0.0,0.0,Chinook salmon,project-14
